"state","cell","ft_group","prov_code","ageclass","saw_vol_frac","pulp_vol_frac","saw_bio_frac","pulp_bio_frac","res_bio_frac","sw_frac"
"ME","Aspen/birch|5.3.1","Aspen/birch","5.3.1","young<40",0.229,0.771,0.0359,0.1448,0.8193,0.3686
"ME","Elm/ash/cottonwood|5.3.1","Elm/ash/cottonwood","5.3.1","young<40",0.2734,0.7266,0.0706,0.2004,0.729,0.3732
"ME","Exotic softwoods|5.3.1","Exotic softwoods","5.3.1","young<40",0.0434,0.9566,0.0154,0.3443,0.6403,0.4752
"ME","Maple/beech/birch|5.3.1","Maple/beech/birch","5.3.1","young<40",0.3443,0.6557,0.0826,0.1871,0.7303,0.2344
"ME","Oak/hickory|5.3.1","Oak/hickory","5.3.1","young<40",0.0868,0.9132,0.0125,0.2064,0.7811,0.1021
"ME","Oak/pine|5.3.1","Oak/pine","5.3.1","young<40",0.588,0.412,0.2619,0.209,0.5292,0.5308
"ME","Spruce/fir|5.3.1","Spruce/fir","5.3.1","young<40",0.3147,0.6853,0.0498,0.1252,0.825,0.8534
"ME","White/red/jack pine|5.3.1","White/red/jack pine","5.3.1","young<40",0.4663,0.5337,0.1478,0.2611,0.5911,0.7827
"ME","Woodland hardwoods|5.3.1","Woodland hardwoods","5.3.1","young<40",0.2419,0.7581,0.0513,0.1649,0.7838,0.435
"ME","Aspen/birch|8.1.7","Aspen/birch","8.1.7","young<40",0.1449,0.8551,0.0219,0.1326,0.8455,0.2338
"ME","Elm/ash/cottonwood|8.1.7","Elm/ash/cottonwood","8.1.7","young<40",0.5124,0.4876,0.1707,0.2004,0.6289,0.5385
"ME","Maple/beech/birch|8.1.7","Maple/beech/birch","8.1.7","young<40",0.5779,0.4221,0.1928,0.2175,0.5896,0.2015
"ME","Oak/hickory|8.1.7","Oak/hickory","8.1.7","young<40",0.3984,0.6016,0.1352,0.3641,0.5007,0.0456
"ME","Oak/pine|8.1.7","Oak/pine","8.1.7","young<40",0.8704,0.1296,0.4239,0.0648,0.5113,0.9559
"ME","White/red/jack pine|8.1.7","White/red/jack pine","8.1.7","young<40",0.5883,0.4117,0.2292,0.2564,0.5144,0.6732
"ME","Aspen/birch|8.1.8","Aspen/birch","8.1.8","young<40",0.2327,0.7673,0.0379,0.1455,0.8166,0.2794
"ME","Elm/ash/cottonwood|8.1.8","Elm/ash/cottonwood","8.1.8","young<40",0.189,0.811,0.0369,0.2258,0.7373,0.2766
"ME","Exotic softwoods|8.1.8","Exotic softwoods","8.1.8","young<40",0.1816,0.8184,0.059,0.2603,0.6806,0.8487
"ME","Maple/beech/birch|8.1.8","Maple/beech/birch","8.1.8","young<40",0.2968,0.7032,0.059,0.1684,0.7726,0.238
"ME","Oak/hickory|8.1.8","Oak/hickory","8.1.8","young<40",0.1881,0.8119,0.0538,0.255,0.6913,0.0839
"ME","Oak/pine|8.1.8","Oak/pine","8.1.8","young<40",0.4091,0.5909,0.1001,0.1852,0.7147,0.453
"ME","Spruce/fir|8.1.8","Spruce/fir","8.1.8","young<40",0.3213,0.6787,0.0575,0.1413,0.8012,0.8212
"ME","White/red/jack pine|8.1.8","White/red/jack pine","8.1.8","young<40",0.3883,0.6117,0.1062,0.1929,0.7009,0.7561
"ME","Woodland hardwoods|8.1.8","Woodland hardwoods","8.1.8","young<40",0.394,0.606,0.1275,0.2119,0.6606,0.5386
"ME","Aspen/birch|5.3.1","Aspen/birch","5.3.1","mature40-80",0.3338,0.6662,0.1187,0.2812,0.6002,0.346
"ME","Elm/ash/cottonwood|5.3.1","Elm/ash/cottonwood","5.3.1","mature40-80",0.4417,0.5583,0.1448,0.2735,0.5818,0.3205
"ME","Loblolly/shortleaf pine|5.3.1","Loblolly/shortleaf pine","5.3.1","mature40-80",0.5031,0.4969,0.2439,0.2438,0.5123,0.8347
"ME","Maple/beech/birch|5.3.1","Maple/beech/birch","5.3.1","mature40-80",0.4297,0.5703,0.1795,0.279,0.5415,0.2283
"ME","Oak/hickory|5.3.1","Oak/hickory","5.3.1","mature40-80",0.5123,0.4877,0.2305,0.2699,0.4997,0.2241
"ME","Oak/pine|5.3.1","Oak/pine","5.3.1","mature40-80",0.6435,0.3565,0.2942,0.2125,0.4933,0.4529
"ME","Spruce/fir|5.3.1","Spruce/fir","5.3.1","mature40-80",0.4228,0.5772,0.1337,0.2349,0.6315,0.8231
"ME","White/red/jack pine|5.3.1","White/red/jack pine","5.3.1","mature40-80",0.7466,0.2534,0.3462,0.199,0.4548,0.7366
"ME","Woodland hardwoods|5.3.1","Woodland hardwoods","5.3.1","mature40-80",0.4526,0.5474,0.218,0.3148,0.4672,0.4928
"ME","Aspen/birch|8.1.7","Aspen/birch","8.1.7","mature40-80",0.2901,0.7099,0.1125,0.3076,0.5799,0.3401
"ME","Elm/ash/cottonwood|8.1.7","Elm/ash/cottonwood","8.1.7","mature40-80",0.303,0.697,0.1323,0.3311,0.5366,0.187
"ME","Maple/beech/birch|8.1.7","Maple/beech/birch","8.1.7","mature40-80",0.4425,0.5575,0.2059,0.2991,0.495,0.2356
"ME","Oak/hickory|8.1.7","Oak/hickory","8.1.7","mature40-80",0.4384,0.5616,0.205,0.2747,0.5203,0.1172
"ME","Oak/pine|8.1.7","Oak/pine","8.1.7","mature40-80",0.5934,0.4066,0.2848,0.2364,0.4788,0.4306
"ME","Spruce/fir|8.1.7","Spruce/fir","8.1.7","mature40-80",0.4881,0.5119,0.21,0.2712,0.5189,0.7393
"ME","White/red/jack pine|8.1.7","White/red/jack pine","8.1.7","mature40-80",0.6766,0.3234,0.313,0.2453,0.4417,0.7555
"ME","Aspen/birch|8.1.8","Aspen/birch","8.1.8","mature40-80",0.3133,0.6867,0.1017,0.277,0.6214,0.3208
