"state","scenario","year_offset","net_stock_Tg"
"AL","reserve (no harvest)",0,353.408
"AL","reserve (no harvest)",10,448.427
"AL","reserve (no harvest)",20,518.867
"AL","reserve (no harvest)",30,565.945
"AL","reserve (no harvest)",40,595.048
"AL","reserve (no harvest)",50,611.944
"AL","reserve (no harvest)",60,621.508
"AL","reserve (no harvest)",70,627.424
"AL","reserve (no harvest)",80,632.261
"AL","reserve (no harvest)",90,637.681
"AL","reserve (no harvest)",100,644.666
"AR","reserve (no harvest)",0,333.03
"AR","reserve (no harvest)",10,386.209
"AR","reserve (no harvest)",20,428.297
"AR","reserve (no harvest)",30,459.11
"AR","reserve (no harvest)",40,480.135
"AR","reserve (no harvest)",50,493.282
"AR","reserve (no harvest)",60,500.387
"AR","reserve (no harvest)",70,503.035
"AR","reserve (no harvest)",80,502.504
"AR","reserve (no harvest)",90,499.786
"AR","reserve (no harvest)",100,495.619
"AZ","reserve (no harvest)",0,100.782
"AZ","reserve (no harvest)",10,105.649
"AZ","reserve (no harvest)",20,109.802
"AZ","reserve (no harvest)",30,113.265
"AZ","reserve (no harvest)",40,116.083
"AZ","reserve (no harvest)",50,118.309
"AZ","reserve (no harvest)",60,120
"AZ","reserve (no harvest)",70,121.216
"AZ","reserve (no harvest)",80,122.013
"AZ","reserve (no harvest)",90,122.447
"AZ","reserve (no harvest)",100,122.568
"CA","reserve (no harvest)",0,525.415
"CA","reserve (no harvest)",10,563.103
"CA","reserve (no harvest)",20,596.945
"CA","reserve (no harvest)",30,627.276
"CA","reserve (no harvest)",40,654.382
"CA","reserve (no harvest)",50,678.518
"CA","reserve (no harvest)",60,699.922
"CA","reserve (no harvest)",70,718.811
"CA","reserve (no harvest)",80,735.385
"CA","reserve (no harvest)",90,749.828
"CA","reserve (no harvest)",100,762.314
"CO","reserve (no harvest)",0,241.696
"CO","reserve (no harvest)",10,256.643
"CO","reserve (no harvest)",20,270.39
"CO","reserve (no harvest)",30,283.108
"CO","reserve (no harvest)",40,294.899
"CO","reserve (no harvest)",50,305.841
"CO","reserve (no harvest)",60,315.998
"CO","reserve (no harvest)",70,325.427
"CO","reserve (no harvest)",80,334.18
"CO","reserve (no harvest)",90,342.301
"CO","reserve (no harvest)",100,349.834
"CT","reserve (no harvest)",0,27.85
"CT","reserve (no harvest)",10,29.135
"CT","reserve (no harvest)",20,30.241
"CT","reserve (no harvest)",30,31.186
"CT","reserve (no harvest)",40,31.991
"CT","reserve (no harvest)",50,32.676
"CT","reserve (no harvest)",60,33.256
"CT","reserve (no harvest)",70,33.749
"CT","reserve (no harvest)",80,34.169
"CT","reserve (no harvest)",90,34.527
"CT","reserve (no harvest)",100,34.834
"DE","reserve (no harvest)",0,13.337
"DE","reserve (no harvest)",10,14.08
"DE","reserve (no harvest)",20,14.731
"DE","reserve (no harvest)",30,15.279
"DE","reserve (no harvest)",40,15.729
"DE","reserve (no harvest)",50,16.094
"DE","reserve (no harvest)",60,16.385
"DE","reserve (no harvest)",70,16.614
"DE","reserve (no harvest)",80,16.791
"DE","reserve (no harvest)",90,16.924
"DE","reserve (no harvest)",100,17.019
"FL","reserve (no harvest)",0,165.378
"FL","reserve (no harvest)",10,188.638
"FL","reserve (no harvest)",20,200.317
"FL","reserve (no harvest)",30,202.017
"FL","reserve (no harvest)",40,196.802
"FL","reserve (no harvest)",50,187.525
"FL","reserve (no harvest)",60,176.347
"FL","reserve (no harvest)",70,164.718
"FL","reserve (no harvest)",80,153.518
"FL","reserve (no harvest)",90,143.213
"FL","reserve (no harvest)",100,133.998
"GA","reserve (no harvest)",0,266.527
"GA","reserve (no harvest)",10,320.524
"GA","reserve (no harvest)",20,355.682
"GA","reserve (no harvest)",30,373.661
"GA","reserve (no harvest)",40,378.202
"GA","reserve (no harvest)",50,373.144
"GA","reserve (no harvest)",60,361.764
"GA","reserve (no harvest)",70,346.614
"GA","reserve (no harvest)",80,329.557
"GA","reserve (no harvest)",90,311.885
"GA","reserve (no harvest)",100,294.444
"IA","reserve (no harvest)",0,39.798
"IA","reserve (no harvest)",10,42.221
"IA","reserve (no harvest)",20,44.189
"IA","reserve (no harvest)",30,45.773
"IA","reserve (no harvest)",40,47.033
"IA","reserve (no harvest)",50,48.015
"IA","reserve (no harvest)",60,48.764
"IA","reserve (no harvest)",70,49.316
"IA","reserve (no harvest)",80,49.703
"IA","reserve (no harvest)",90,49.952
"IA","reserve (no harvest)",100,50.087
"ID","reserve (no harvest)",0,299.187
"ID","reserve (no harvest)",10,324.589
"ID","reserve (no harvest)",20,346.529
"ID","reserve (no harvest)",30,365.156
"ID","reserve (no harvest)",40,380.683
"ID","reserve (no harvest)",50,393.344
"ID","reserve (no harvest)",60,403.381
"ID","reserve (no harvest)",70,411.03
"ID","reserve (no harvest)",80,416.522
"ID","reserve (no harvest)",90,420.075
"ID","reserve (no harvest)",100,421.895
"IL","reserve (no harvest)",0,82.199
"IL","reserve (no harvest)",10,87.753
"IL","reserve (no harvest)",20,92.621
"IL","reserve (no harvest)",30,96.911
"IL","reserve (no harvest)",40,100.704
"IL","reserve (no harvest)",50,104.062
"IL","reserve (no harvest)",60,107.038
"IL","reserve (no harvest)",70,109.675
"IL","reserve (no harvest)",80,112.012
"IL","reserve (no harvest)",90,114.081
"IL","reserve (no harvest)",100,115.911
"IN","reserve (no harvest)",0,110.811
"IN","reserve (no harvest)",10,120.89
"IN","reserve (no harvest)",20,129.317
"IN","reserve (no harvest)",30,136.288
"IN","reserve (no harvest)",40,141.975
"IN","reserve (no harvest)",50,146.527
"IN","reserve (no harvest)",60,150.07
"IN","reserve (no harvest)",70,152.717
"IN","reserve (no harvest)",80,154.564
"IN","reserve (no harvest)",90,155.7
"IN","reserve (no harvest)",100,156.201
"KS","reserve (no harvest)",0,10.974
"KS","reserve (no harvest)",10,11.861
"KS","reserve (no harvest)",20,12.636
"KS","reserve (no harvest)",30,13.32
"KS","reserve (no harvest)",40,13.928
"KS","reserve (no harvest)",50,14.472
"KS","reserve (no harvest)",60,14.959
"KS","reserve (no harvest)",70,15.399
"KS","reserve (no harvest)",80,15.796
"KS","reserve (no harvest)",90,16.155
"KS","reserve (no harvest)",100,16.482
"KY","reserve (no harvest)",0,265.042
"KY","reserve (no harvest)",10,292.195
"KY","reserve (no harvest)",20,314.233
"KY","reserve (no harvest)",30,331.695
"KY","reserve (no harvest)",40,345.154
"KY","reserve (no harvest)",50,355.167
"KY","reserve (no harvest)",60,362.243
"KY","reserve (no harvest)",70,366.834
"KY","reserve (no harvest)",80,369.333
"KY","reserve (no harvest)",90,370.08
"KY","reserve (no harvest)",100,369.36
"LA","reserve (no harvest)",0,217.564
"LA","reserve (no harvest)",10,270.105
"LA","reserve (no harvest)",20,312.14
"LA","reserve (no harvest)",30,342.887
"LA","reserve (no harvest)",40,363.574
"LA","reserve (no harvest)",50,376.038
"LA","reserve (no harvest)",60,382.143
"LA","reserve (no harvest)",70,383.538
"LA","reserve (no harvest)",80,381.576
"LA","reserve (no harvest)",90,377.319
"LA","reserve (no harvest)",100,371.57
"MA","reserve (no harvest)",0,52.864
"MA","reserve (no harvest)",10,57.038
"MA","reserve (no harvest)",20,61.081
"MA","reserve (no harvest)",30,64.993
"MA","reserve (no harvest)",40,68.772
"MA","reserve (no harvest)",50,72.417
"MA","reserve (no harvest)",60,75.934
"MA","reserve (no harvest)",70,79.331
"MA","reserve (no harvest)",80,82.617
"MA","reserve (no harvest)",90,85.804
"MA","reserve (no harvest)",100,88.901
"MD","reserve (no harvest)",0,44.108
"MD","reserve (no harvest)",10,47.717
"MD","reserve (no harvest)",20,50.48
"MD","reserve (no harvest)",30,52.442
"MD","reserve (no harvest)",40,53.697
"MD","reserve (no harvest)",50,54.35
"MD","reserve (no harvest)",60,54.504
"MD","reserve (no harvest)",70,54.253
"MD","reserve (no harvest)",80,53.678
"MD","reserve (no harvest)",90,52.848
"MD","reserve (no harvest)",100,51.821
"ME","reserve (no harvest)",0,271.884
"ME","reserve (no harvest)",10,301.732
"ME","reserve (no harvest)",20,324.521
"ME","reserve (no harvest)",30,340.595
"ME","reserve (no harvest)",40,350.604
"ME","reserve (no harvest)",50,355.316
"ME","reserve (no harvest)",60,355.524
"ME","reserve (no harvest)",70,351.988
"ME","reserve (no harvest)",80,345.41
"ME","reserve (no harvest)",90,336.422
"ME","reserve (no harvest)",100,325.575
"MI","reserve (no harvest)",0,327.261
"MI","reserve (no harvest)",10,361.355
"MI","reserve (no harvest)",20,392.016
"MI","reserve (no harvest)",30,419.58
"MI","reserve (no harvest)",40,444.324
"MI","reserve (no harvest)",50,466.491
"MI","reserve (no harvest)",60,486.297
"MI","reserve (no harvest)",70,503.939
"MI","reserve (no harvest)",80,519.594
"MI","reserve (no harvest)",90,533.426
"MI","reserve (no harvest)",100,545.583
"MN","reserve (no harvest)",0,220.244
"MN","reserve (no harvest)",10,242.913
"MN","reserve (no harvest)",20,262.087
"MN","reserve (no harvest)",30,278.361
"MN","reserve (no harvest)",40,292.132
"MN","reserve (no harvest)",50,303.722
"MN","reserve (no harvest)",60,313.406
"MN","reserve (no harvest)",70,321.423
"MN","reserve (no harvest)",80,327.981
"MN","reserve (no harvest)",90,333.259
"MN","reserve (no harvest)",100,337.417
"MO","reserve (no harvest)",0,350.802
"MO","reserve (no harvest)",10,372.307
"MO","reserve (no harvest)",20,390.198
"MO","reserve (no harvest)",30,404.99
"MO","reserve (no harvest)",40,417.09
"MO","reserve (no harvest)",50,426.83
"MO","reserve (no harvest)",60,434.49
"MO","reserve (no harvest)",70,440.312
"MO","reserve (no harvest)",80,444.505
"MO","reserve (no harvest)",90,447.253
"MO","reserve (no harvest)",100,448.718
"MS","reserve (no harvest)",0,285.933
"MS","reserve (no harvest)",10,369.833
"MS","reserve (no harvest)",20,432.668
"MS","reserve (no harvest)",30,473.791
"MS","reserve (no harvest)",40,496.589
"MS","reserve (no harvest)",50,505.432
"MS","reserve (no harvest)",60,504.439
"MS","reserve (no harvest)",70,497.027
"MS","reserve (no harvest)",80,485.827
"MS","reserve (no harvest)",90,472.748
"MS","reserve (no harvest)",100,459.105
"MT","reserve (no harvest)",0,343.303
"MT","reserve (no harvest)",10,366.349
"MT","reserve (no harvest)",20,387.145
"MT","reserve (no harvest)",30,405.808
"MT","reserve (no harvest)",40,422.45
"MT","reserve (no harvest)",50,437.19
"MT","reserve (no harvest)",60,450.155
"MT","reserve (no harvest)",70,461.474
"MT","reserve (no harvest)",80,471.276
"MT","reserve (no harvest)",90,479.684
"MT","reserve (no harvest)",100,486.82
"NC","reserve (no harvest)",0,288.446
"NC","reserve (no harvest)",10,337.733
"NC","reserve (no harvest)",20,375.298
"NC","reserve (no harvest)",30,401.783
