"state","scenario","year_offset","net_stock_Tg"
"NC","reserve (no harvest)",40,419.252
"NC","reserve (no harvest)",50,429.988
"NC","reserve (no harvest)",60,436.012
"NC","reserve (no harvest)",70,438.926
"NC","reserve (no harvest)",80,439.92
"NC","reserve (no harvest)",90,439.826
"NC","reserve (no harvest)",100,439.195
"ND","reserve (no harvest)",0,5.624
"ND","reserve (no harvest)",10,6.107
"ND","reserve (no harvest)",20,6.557
"ND","reserve (no harvest)",30,6.977
"ND","reserve (no harvest)",40,7.367
"ND","reserve (no harvest)",50,7.728
"ND","reserve (no harvest)",60,8.062
"ND","reserve (no harvest)",70,8.371
"ND","reserve (no harvest)",80,8.658
"ND","reserve (no harvest)",90,8.924
"ND","reserve (no harvest)",100,9.174
"NE","reserve (no harvest)",0,10.24
"NE","reserve (no harvest)",10,10.713
"NE","reserve (no harvest)",20,11.075
"NE","reserve (no harvest)",30,11.352
"NE","reserve (no harvest)",40,11.566
"NE","reserve (no harvest)",50,11.734
"NE","reserve (no harvest)",60,11.869
"NE","reserve (no harvest)",70,11.981
"NE","reserve (no harvest)",80,12.08
"NE","reserve (no harvest)",90,12.171
"NE","reserve (no harvest)",100,12.26
"NH","reserve (no harvest)",0,111.713
"NH","reserve (no harvest)",10,120.447
"NH","reserve (no harvest)",20,128.043
"NH","reserve (no harvest)",30,134.618
"NH","reserve (no harvest)",40,140.283
"NH","reserve (no harvest)",50,145.153
"NH","reserve (no harvest)",60,149.33
"NH","reserve (no harvest)",70,152.911
"NH","reserve (no harvest)",80,155.979
"NH","reserve (no harvest)",90,158.609
"NH","reserve (no harvest)",100,160.861
"NJ","reserve (no harvest)",0,41.424
"NJ","reserve (no harvest)",10,44.469
"NJ","reserve (no harvest)",20,46.94
"NJ","reserve (no harvest)",30,48.9
"NJ","reserve (no harvest)",40,50.413
"NJ","reserve (no harvest)",50,51.542
"NJ","reserve (no harvest)",60,52.34
"NJ","reserve (no harvest)",70,52.859
"NJ","reserve (no harvest)",80,53.142
"NJ","reserve (no harvest)",90,53.226
"NJ","reserve (no harvest)",100,53.145
"NM","reserve (no harvest)",0,117.08
"NM","reserve (no harvest)",10,122.192
"NM","reserve (no harvest)",20,126.668
"NM","reserve (no harvest)",30,130.559
"NM","reserve (no harvest)",40,133.914
"NM","reserve (no harvest)",50,136.782
"NM","reserve (no harvest)",60,139.209
"NM","reserve (no harvest)",70,141.236
"NM","reserve (no harvest)",80,142.902
"NM","reserve (no harvest)",90,144.243
"NM","reserve (no harvest)",100,145.292
"NV","reserve (no harvest)",0,35.75
"NV","reserve (no harvest)",10,37.574
"NV","reserve (no harvest)",20,39.259
"NV","reserve (no harvest)",30,40.809
"NV","reserve (no harvest)",40,42.228
"NV","reserve (no harvest)",50,43.522
"NV","reserve (no harvest)",60,44.695
"NV","reserve (no harvest)",70,45.752
"NV","reserve (no harvest)",80,46.699
"NV","reserve (no harvest)",90,47.54
"NV","reserve (no harvest)",100,48.282
"NY","reserve (no harvest)",0,340.826
"NY","reserve (no harvest)",10,381.517
"NY","reserve (no harvest)",20,418.554
"NY","reserve (no harvest)",30,451.879
"NY","reserve (no harvest)",40,481.606
"NY","reserve (no harvest)",50,507.942
"NY","reserve (no harvest)",60,531.14
"NY","reserve (no harvest)",70,551.468
"NY","reserve (no harvest)",80,569.185
"NY","reserve (no harvest)",90,584.536
"NY","reserve (no harvest)",100,597.745
"OH","reserve (no harvest)",0,159.121
"OH","reserve (no harvest)",10,177.813
"OH","reserve (no harvest)",20,195.368
"OH","reserve (no harvest)",30,211.889
"OH","reserve (no harvest)",40,227.477
"OH","reserve (no harvest)",50,242.233
"OH","reserve (no harvest)",60,256.251
"OH","reserve (no harvest)",70,269.612
"OH","reserve (no harvest)",80,282.385
"OH","reserve (no harvest)",90,294.623
"OH","reserve (no harvest)",100,306.369
"OK","reserve (no harvest)",0,108.113
"OK","reserve (no harvest)",10,120.975
"OK","reserve (no harvest)",20,132.183
"OK","reserve (no harvest)",30,141.891
"OK","reserve (no harvest)",40,150.346
"OK","reserve (no harvest)",50,157.806
"OK","reserve (no harvest)",60,164.508
"OK","reserve (no harvest)",70,170.658
"OK","reserve (no harvest)",80,176.427
"OK","reserve (no harvest)",90,181.954
"OK","reserve (no harvest)",100,187.35
"OR","reserve (no harvest)",0,836.686
"OR","reserve (no harvest)",10,898.832
"OR","reserve (no harvest)",20,954.422
"OR","reserve (no harvest)",30,1003.548
"OR","reserve (no harvest)",40,1046.439
"OR","reserve (no harvest)",50,1083.401
"OR","reserve (no harvest)",60,1114.779
"OR","reserve (no harvest)",70,1140.937
"OR","reserve (no harvest)",80,1162.242
"OR","reserve (no harvest)",90,1179.055
"OR","reserve (no harvest)",100,1191.729
"PA","reserve (no harvest)",0,432.458
"PA","reserve (no harvest)",10,471.874
"PA","reserve (no harvest)",20,508.266
"PA","reserve (no harvest)",30,541.8
"PA","reserve (no harvest)",40,572.642
"PA","reserve (no harvest)",50,600.95
"PA","reserve (no harvest)",60,626.876
"PA","reserve (no harvest)",70,650.559
"PA","reserve (no harvest)",80,672.135
"PA","reserve (no harvest)",90,691.729
"PA","reserve (no harvest)",100,709.458
"RI","reserve (no harvest)",0,12.255
"RI","reserve (no harvest)",10,13.6
"RI","reserve (no harvest)",20,14.87
"RI","reserve (no harvest)",30,16.062
"RI","reserve (no harvest)",40,17.177
"RI","reserve (no harvest)",50,18.219
"RI","reserve (no harvest)",60,19.192
"RI","reserve (no harvest)",70,20.101
"RI","reserve (no harvest)",80,20.952
"RI","reserve (no harvest)",90,21.75
"RI","reserve (no harvest)",100,22.501
"SC","reserve (no harvest)",0,183.401
"SC","reserve (no harvest)",10,217.676
"SC","reserve (no harvest)",20,237.863
"SC","reserve (no harvest)",30,245.382
"SC","reserve (no harvest)",40,243.365
"SC","reserve (no harvest)",50,234.949
"SC","reserve (no harvest)",60,222.713
"SC","reserve (no harvest)",70,208.566
"SC","reserve (no harvest)",80,193.821
"SC","reserve (no harvest)",90,179.313
"SC","reserve (no harvest)",100,165.535
"SD","reserve (no harvest)",0,13.156
"SD","reserve (no harvest)",10,13.911
"SD","reserve (no harvest)",20,14.563
"SD","reserve (no harvest)",30,15.135
"SD","reserve (no harvest)",40,15.641
"SD","reserve (no harvest)",50,16.09
"SD","reserve (no harvest)",60,16.488
"SD","reserve (no harvest)",70,16.84
"SD","reserve (no harvest)",80,17.152
"SD","reserve (no harvest)",90,17.428
"SD","reserve (no harvest)",100,17.671
"TN","reserve (no harvest)",0,273.878
"TN","reserve (no harvest)",10,310.498
"TN","reserve (no harvest)",20,344.014
"TN","reserve (no harvest)",30,374.742
"TN","reserve (no harvest)",40,403.076
"TN","reserve (no harvest)",50,429.393
"TN","reserve (no harvest)",60,454.017
"TN","reserve (no harvest)",70,477.217
"TN","reserve (no harvest)",80,499.205
"TN","reserve (no harvest)",90,520.148
"TN","reserve (no harvest)",100,540.176
"TX","reserve (no harvest)",0,247.43
"TX","reserve (no harvest)",10,294.072
"TX","reserve (no harvest)",20,329.751
"TX","reserve (no harvest)",30,354.509
"TX","reserve (no harvest)",40,369.788
"TX","reserve (no harvest)",50,377.406
"TX","reserve (no harvest)",60,379.148
"TX","reserve (no harvest)",70,376.6
"TX","reserve (no harvest)",80,371.09
"TX","reserve (no harvest)",90,363.688
"TX","reserve (no harvest)",100,355.224
"UT","reserve (no harvest)",0,89.586
"UT","reserve (no harvest)",10,95.272
"UT","reserve (no harvest)",20,100.563
"UT","reserve (no harvest)",30,105.485
"UT","reserve (no harvest)",40,110.064
"UT","reserve (no harvest)",50,114.328
"UT","reserve (no harvest)",60,118.302
"UT","reserve (no harvest)",70,122.014
"UT","reserve (no harvest)",80,125.489
"UT","reserve (no harvest)",90,128.75
"UT","reserve (no harvest)",100,131.82
"VA","reserve (no harvest)",0,305.074
"VA","reserve (no harvest)",10,346.516
"VA","reserve (no harvest)",20,378.84
"VA","reserve (no harvest)",30,401.604
"VA","reserve (no harvest)",40,416.235
"VA","reserve (no harvest)",50,424.64
"VA","reserve (no harvest)",60,428.594
"VA","reserve (no harvest)",70,429.528
"VA","reserve (no harvest)",80,428.497
"VA","reserve (no harvest)",90,426.231
"VA","reserve (no harvest)",100,423.208
"VT","reserve (no harvest)",0,124.82
"VT","reserve (no harvest)",10,137.673
"VT","reserve (no harvest)",20,149.687
"VT","reserve (no harvest)",30,160.923
"VT","reserve (no harvest)",40,171.435
"VT","reserve (no harvest)",50,181.269
"VT","reserve (no harvest)",60,190.467
"VT","reserve (no harvest)",70,199.068
"VT","reserve (no harvest)",80,207.11
"VT","reserve (no harvest)",90,214.626
"VT","reserve (no harvest)",100,221.648
"WA","reserve (no harvest)",0,631.334
"WA","reserve (no harvest)",10,684.381
"WA","reserve (no harvest)",20,731.528
"WA","reserve (no harvest)",30,772.585
"WA","reserve (no harvest)",40,807.75
"WA","reserve (no harvest)",50,837.403
"WA","reserve (no harvest)",60,862.003
"WA","reserve (no harvest)",70,882.034
"WA","reserve (no harvest)",80,897.972
"WA","reserve (no harvest)",90,910.269
"WA","reserve (no harvest)",100,919.342
"WI","reserve (no harvest)",0,322.69
"WI","reserve (no harvest)",10,356.071
"WI","reserve (no harvest)",20,386.723
"WI","reserve (no harvest)",30,414.943
"WI","reserve (no harvest)",40,440.944
"WI","reserve (no harvest)",50,464.906
"WI","reserve (no harvest)",60,486.983
"WI","reserve (no harvest)",70,507.312
"WI","reserve (no harvest)",80,526.016
"WI","reserve (no harvest)",90,543.21
"WI","reserve (no harvest)",100,558.997
"WV","reserve (no harvest)",0,236.073
"WV","reserve (no harvest)",10,252.547
"WV","reserve (no harvest)",20,266.409
"WV","reserve (no harvest)",30,277.917
"WV","reserve (no harvest)",40,287.306
"WV","reserve (no harvest)",50,294.794
"WV","reserve (no harvest)",60,300.578
"WV","reserve (no harvest)",70,304.836
"WV","reserve (no harvest)",80,307.732
"WV","reserve (no harvest)",90,309.413
"WV","reserve (no harvest)",100,310.013
"WY","reserve (no harvest)",0,125.612
"WY","reserve (no harvest)",10,134.163
"WY","reserve (no harvest)",20,142.052
"WY","reserve (no harvest)",30,149.314
"WY","reserve (no harvest)",40,155.979
"WY","reserve (no harvest)",50,162.08
"WY","reserve (no harvest)",60,167.649
"WY","reserve (no harvest)",70,172.715
"WY","reserve (no harvest)",80,177.311
"WY","reserve (no harvest)",90,181.464
"WY","reserve (no harvest)",100,185.203
"AL","managed (harvest)",0,353.408
"AL","managed (harvest)",10,449.405
"AL","managed (harvest)",20,490.792
"AL","managed (harvest)",30,514.954
"AL","managed (harvest)",40,519.838
"AL","managed (harvest)",50,516.463
"AL","managed (harvest)",60,506.441
"AL","managed (harvest)",70,494.364
"AL","managed (harvest)",80,481.465
"AL","managed (harvest)",90,482.566
"AL","managed (harvest)",100,485.873
"AR","managed (harvest)",0,333.03
"AR","managed (harvest)",10,387.886
"AR","managed (harvest)",20,411.546
"AR","managed (harvest)",30,424.867
"AR","managed (harvest)",40,429.824
"AR","managed (harvest)",50,425.821
"AR","managed (harvest)",60,421.253
"AR","managed (harvest)",70,410.778
"AR","managed (harvest)",80,398.974
"AR","managed (harvest)",90,385.322
"AR","managed (harvest)",100,376.882
"AZ","managed (harvest)",0,100.782
"AZ","managed (harvest)",10,105.651
"AZ","managed (harvest)",20,107.641
"AZ","managed (harvest)",30,108.426
"AZ","managed (harvest)",40,108.204
"AZ","managed (harvest)",50,107.283
"AZ","managed (harvest)",60,105.475
"AZ","managed (harvest)",70,103.16
"AZ","managed (harvest)",80,100.371
"AZ","managed (harvest)",90,97.108
"AZ","managed (harvest)",100,93.529
"CA","managed (harvest)",0,525.415
"CA","managed (harvest)",10,564.448
"CA","managed (harvest)",20,588.539
"CA","managed (harvest)",30,605.584
"CA","managed (harvest)",40,617.6
"CA","managed (harvest)",50,623.645
"CA","managed (harvest)",60,625.654
"CA","managed (harvest)",70,624.051
"CA","managed (harvest)",80,620.207
"CA","managed (harvest)",90,612.185
"CA","managed (harvest)",100,602.417
"CO","managed (harvest)",0,241.696
"CO","managed (harvest)",10,256.758
"CO","managed (harvest)",20,263.922
"CO","managed (harvest)",30,269.423
"CO","managed (harvest)",40,273.207
"CO","managed (harvest)",50,276.082
"CO","managed (harvest)",60,277.274
"CO","managed (harvest)",70,277.374
"CO","managed (harvest)",80,276.689
"CO","managed (harvest)",90,274.82
"CO","managed (harvest)",100,272.445
"CT","managed (harvest)",0,27.85
"CT","managed (harvest)",10,29.166
"CT","managed (harvest)",20,29.356
"CT","managed (harvest)",30,28.495
"CT","managed (harvest)",40,28.154
"CT","managed (harvest)",50,27.014
"CT","managed (harvest)",60,26.369
"CT","managed (harvest)",70,25.12
"CT","managed (harvest)",80,24.183
"CT","managed (harvest)",90,23.034
"CT","managed (harvest)",100,22.058
"DE","managed (harvest)",0,13.337
"DE","managed (harvest)",10,14.219
"DE","managed (harvest)",20,13.863
"DE","managed (harvest)",30,13.844
"DE","managed (harvest)",40,13.566
"DE","managed (harvest)",50,13.665
"DE","managed (harvest)",60,13.703
"DE","managed (harvest)",70,13.458
"DE","managed (harvest)",80,13.084
"DE","managed (harvest)",90,13.133
"DE","managed (harvest)",100,13.248
"FL","managed (harvest)",0,165.378
"FL","managed (harvest)",10,191.033
"FL","managed (harvest)",20,194.654
"FL","managed (harvest)",30,190.372
"FL","managed (harvest)",40,180.263
"FL","managed (harvest)",50,167.849
"FL","managed (harvest)",60,155.363
"FL","managed (harvest)",70,144.337
"FL","managed (harvest)",80,135.876
"FL","managed (harvest)",90,129.969
"FL","managed (harvest)",100,125.822
"GA","managed (harvest)",0,266.527
"GA","managed (harvest)",10,321.794
"GA","managed (harvest)",20,345.068
"GA","managed (harvest)",30,348.631
"GA","managed (harvest)",40,343.368
"GA","managed (harvest)",50,327.47
"GA","managed (harvest)",60,311.794
"GA","managed (harvest)",70,289.945
"GA","managed (harvest)",80,271.535
"GA","managed (harvest)",90,256.713
"GA","managed (harvest)",100,249.126
"IA","managed (harvest)",0,39.798
"IA","managed (harvest)",10,42.468
"IA","managed (harvest)",20,41.903
"IA","managed (harvest)",30,41.236
"IA","managed (harvest)",40,40.036
"IA","managed (harvest)",50,39.199
"IA","managed (harvest)",60,37.913
"IA","managed (harvest)",70,36.478
"IA","managed (harvest)",80,34.606
"IA","managed (harvest)",90,33.431
"IA","managed (harvest)",100,32.058
"ID","managed (harvest)",0,299.187
"ID","managed (harvest)",10,324.831
"ID","managed (harvest)",20,341.019
"ID","managed (harvest)",30,351.595
"ID","managed (harvest)",40,358.752
"ID","managed (harvest)",50,360.889
"ID","managed (harvest)",60,359.793
"ID","managed (harvest)",70,356.204
"ID","managed (harvest)",80,349.797
"ID","managed (harvest)",90,340.619
"ID","managed (harvest)",100,330.293
"IL","managed (harvest)",0,82.199
"IL","managed (harvest)",10,87.891
"IL","managed (harvest)",20,89.374
"IL","managed (harvest)",30,88.595
"IL","managed (harvest)",40,88.449
"IL","managed (harvest)",50,86.66
"IL","managed (harvest)",60,85.394
"IL","managed (harvest)",70,82.776
"IL","managed (harvest)",80,80.451
"IL","managed (harvest)",90,78.095
"IL","managed (harvest)",100,75.448
"IN","managed (harvest)",0,110.811
"IN","managed (harvest)",10,121.197
"IN","managed (harvest)",20,123.845
"IN","managed (harvest)",30,124.307
"IN","managed (harvest)",40,123.305
"IN","managed (harvest)",50,120.701
"IN","managed (harvest)",60,117.464
"IN","managed (harvest)",70,112.911
"IN","managed (harvest)",80,108.209
"IN","managed (harvest)",90,102.414
"IN","managed (harvest)",100,97.016
"KS","managed (harvest)",0,10.974
"KS","managed (harvest)",10,11.882
"KS","managed (harvest)",20,11.807
"KS","managed (harvest)",30,11.727
"KS","managed (harvest)",40,11.509
"KS","managed (harvest)",50,11.226
"KS","managed (harvest)",60,10.966
"KS","managed (harvest)",70,10.575
"KS","managed (harvest)",80,10.286
"KS","managed (harvest)",90,9.857
"KS","managed (harvest)",100,9.48
"KY","managed (harvest)",0,265.042
"KY","managed (harvest)",10,293.056
"KY","managed (harvest)",20,298.502
"KY","managed (harvest)",30,298.48
"KY","managed (harvest)",40,296.401
"KY","managed (harvest)",50,287.27
"KY","managed (harvest)",60,277.843
"KY","managed (harvest)",70,265.274
"KY","managed (harvest)",80,252.85
"KY","managed (harvest)",90,237.679
"KY","managed (harvest)",100,224.813
"LA","managed (harvest)",0,217.564
"LA","managed (harvest)",10,271.16
"LA","managed (harvest)",20,298.096
"LA","managed (harvest)",30,317.401
"LA","managed (harvest)",40,325.033
"LA","managed (harvest)",50,326.84
"LA","managed (harvest)",60,323.578
"LA","managed (harvest)",70,315.706
"LA","managed (harvest)",80,304.181
"LA","managed (harvest)",90,293.636
"LA","managed (harvest)",100,285.021
"MA","managed (harvest)",0,52.864
"MA","managed (harvest)",10,57.063
"MA","managed (harvest)",20,58.272
"MA","managed (harvest)",30,59.068
"MA","managed (harvest)",40,59.835
"MA","managed (harvest)",50,59.888
"MA","managed (harvest)",60,60.005
"MA","managed (harvest)",70,59.41
"MA","managed (harvest)",80,59.157
"MA","managed (harvest)",90,58.687
