"age_class","n","mean_age","std_MgCha","obs_MgChayr","obs_pctyr"
"0-20",43477,13,20.5,0.833,4.074
"20-40",59153,31,34.7,1.612,4.646
"40-60",58344,51,50,1.156,2.314
"60-80",53798,71,63.3,0.984,1.555
"80-100",31683,89,71.1,0.871,1.225
"100-120",11573,109,71.8,0.649,0.904
"120+",14328,181,69.4,0.308,0.445
