"prov","ft","n","p_dist_ann","sev","fire_share","insect_share"
"5.2.2","Spruce/fir",4479,0.00835,0.3584,0.02,0.431
"5.3.1","Spruce/fir",3660,0.01286,0.249,0.002,0.124
"6.2.10","Spruce/fir",50,0.03552,0.3075,0.088,0.345
"8.1.1","Spruce/fir",38,0.01381,0.2521,0.004,0.182
"8.1.4","Spruce/fir",450,0.00903,0.2926,0.006,0.212
"8.1.8","Spruce/fir",2747,0.00832,0.2485,0.002,0.439
"8.2.1","Spruce/fir",28,0.02173,0.3179,0.002,0.493
"8.4.1","Spruce/fir",15,0.02086,0.2416,0.018,0.356
"8.4.2","Spruce/fir",27,0.02113,0.2206,0.038,0.358
"8.4.4","Spruce/fir",20,0.02575,0.2484,0.075,0.392
"11.1.1","Tanoak/laurel",10,0.03559,0.3359,0.361,0.043
"6.2.11","Tanoak/laurel",344,0.02108,0.3858,0.589,0.074
"6.2.12","Tanoak/laurel",14,0.03528,0.3506,0.271,0.058
"6.2.7","Tanoak/laurel",26,0.02368,0.3009,0.136,0.114
"7.1.8","Tanoak/laurel",393,0.01602,0.3429,0.235,0.035
"15.4.1","Tropical hardwoods",14,0.03119,0.219,0.753,0.006
"8.5.3","Tropical hardwoods",182,0.01976,0.2659,0.44,0.024
"6.2.10","Western larch",20,0.03905,0.3501,0.062,0.573
"6.2.3","Western larch",565,0.03269,0.3331,0.096,0.354
"6.2.4","Western larch",51,0.02724,0.4036,0.218,0.322
"6.2.5","Western larch",12,0.04271,0.3001,0.179,0.418
"6.2.9","Western larch",166,0.03369,0.296,0.13,0.241
"11.1.1","Western oak",394,0.04733,0.3229,0.241,0.024
"11.1.3","Western oak",18,0.03005,0.3646,0.429,0.047
"6.2.11","Western oak",259,0.02288,0.3602,0.568,0.064
"6.2.12","Western oak",122,0.03544,0.3465,0.301,0.06
"6.2.8","Western oak",81,0.03706,0.255,0.126,0.182
"7.1.8","Western oak",18,0.01883,0.3306,0.271,0.07
"6.2.12","Western white pine",16,0.03896,0.3422,0.201,0.104
"6.2.3","Western white pine",23,0.03353,0.3339,0.109,0.335
"0.0.0","White/red/jack pine",54,0.00871,0.2831,0.027,0.263
"5.2.1","White/red/jack pine",6682,0.00701,0.2802,0.047,0.295
"5.2.2","White/red/jack pine",244,0.00811,0.3504,0.044,0.424
"5.3.1","White/red/jack pine",1294,0.01572,0.2455,0.002,0.122
"5.3.3","White/red/jack pine",121,0.01461,0.2237,0.021,0.359
"8.1.1","White/red/jack pine",87,0.01506,0.2423,0.005,0.181
"8.1.10","White/red/jack pine",11,0.02384,0.2357,0.001,0.326
"8.1.3","White/red/jack pine",217,0.01425,0.2279,0.003,0.374
"8.1.4","White/red/jack pine",1074,0.00777,0.2827,0.013,0.221
"8.1.5","White/red/jack pine",112,0.01803,0.261,0.014,0.258
"8.1.6","White/red/jack pine",103,0.01434,0.2836,0.024,0.725
"8.1.7","White/red/jack pine",452,0.0119,0.234,0.005,0.458
"8.1.8","White/red/jack pine",636,0.00892,0.2419,0.002,0.455
"8.2.1","White/red/jack pine",10,0.01747,0.2775,0.004,0.518
"8.3.1","White/red/jack pine",15,0.0087,0.2365,0.052,0.478
"8.3.2","White/red/jack pine",21,0.01502,0.2165,0.015,0.121
"8.3.3","White/red/jack pine",27,0.01417,0.2238,0.041,0.415
"8.3.4","White/red/jack pine",63,0.00641,0.2358,0.269,0.245
"8.4.1","White/red/jack pine",198,0.01139,0.2457,0.136,0.473
"8.4.2","White/red/jack pine",71,0.01617,0.222,0.124,0.441
"8.4.3","White/red/jack pine",78,0.02767,0.2283,0.008,0.404
"8.4.4","White/red/jack pine",418,0.01515,0.2396,0.18,0.568
"8.4.9","White/red/jack pine",42,0.00729,0.2455,0.199,0.386
"8.5.4","White/red/jack pine",20,0.00977,0.1912,0.484,0.289
"11.1.1","Woodland hardwoods",12,0.04546,0.3419,0.284,0.034
"5.2.1","Woodland hardwoods",300,0.0073,0.2845,0.029,0.304
"5.2.2","Woodland hardwoods",34,0.00759,0.3496,0.038,0.398
"5.3.1","Woodland hardwoods",110,0.0136,0.2475,0.002,0.136
"5.3.3","Woodland hardwoods",165,0.01485,0.2214,0.022,0.366
"6.2.10","Woodland hardwoods",30,0.03549,0.3114,0.082,0.378
"6.2.11","Woodland hardwoods",153,0.02146,0.3611,0.534,0.078
"6.2.12","Woodland hardwoods",24,0.03517,0.3727,0.307,0.073
"6.2.3","Woodland hardwoods",22,0.03059,0.3154,0.133,0.339
"6.2.7","Woodland hardwoods",36,0.01953,0.3137,0.152,0.095
"6.2.8","Woodland hardwoods",24,0.03603,0.2654,0.147,0.169
"6.2.9","Woodland hardwoods",27,0.0324,0.2904,0.185,0.2
"7.1.8","Woodland hardwoods",37,0.01518,0.3176,0.134,0.029
"8.1.1","Woodland hardwoods",36,0.01322,0.245,0.005,0.245
"8.1.3","Woodland hardwoods",63,0.01426,0.2341,0.003,0.354
"8.1.4","Woodland hardwoods",10,0.00893,0.2798,0.004,0.208
"8.1.5","Woodland hardwoods",12,0.0174,0.2585,0.01,0.269
"8.1.7","Woodland hardwoods",47,0.01161,0.2322,0.006,0.515
"8.1.8","Woodland hardwoods",54,0.00943,0.2468,0.002,0.442
"8.3.3","Woodland hardwoods",10,0.0137,0.2162,0.033,0.386
"8.3.4","Woodland hardwoods",42,0.00664,0.2294,0.359,0.172
"8.3.5","Woodland hardwoods",71,0.01222,0.2304,0.435,0.047
"8.4.1","Woodland hardwoods",197,0.01269,0.2518,0.121,0.452
"8.4.2","Woodland hardwoods",48,0.0147,0.2151,0.091,0.431
"8.4.3","Woodland hardwoods",24,0.03371,0.2397,0.006,0.35
"8.4.4","Woodland hardwoods",159,0.01706,0.2399,0.169,0.541
"8.4.9","Woodland hardwoods",10,0.00805,0.2423,0.196,0.339
"8.5.1","Woodland hardwoods",12,0.01083,0.2553,0.3,0.044
"8.5.3","Woodland hardwoods",38,0.01703,0.2433,0.432,0.026
"9.4.5","Woodland hardwoods",16,0.0233,0.2696,0.493,0.009
"9.4.6","Woodland hardwoods",16,0.0223,0.3402,0.268,0.018
