expansion,agc_t0_Tg,agc_t100_Tg,net_pct
"FIADB recalibrated (FIA-plot, uniform-grid)",11061.2,23420.9,111.7
"TreeMap recalibrated (pixel, spatial)",11553.7,17722.4,53.4
