state,fiadb_2025,treemap_2025,fiadb_2125,treemap_2125,ratio_2025,ratio_2125
AL,344.6,400.4,931.8,776.9,1.162,0.834
AR,293.5,367.0,730.3,570.2,1.25,0.781
AZ,113.3,126.0,138.3,157.8,1.112,1.141
CA,351.6,659.0,549.6,910.5,1.874,1.657
CO,129.3,297.1,223.0,399.5,2.298,1.791
CT,23.0,25.3,39.2,32.6,1.101,0.831
DE,8.9,26.5,11.3,41.6,2.996,3.676
FL,261.0,222.3,475.1,388.2,0.852,0.817
GA,481.7,297.6,931.7,562.3,0.618,0.603
IA,43.8,45.2,114.8,59.1,1.033,0.515
ID,356.3,361.7,600.6,535.0,1.015,0.891
IL,110.6,99.2,293.9,134.2,0.897,0.456
IN,115.5,121.9,272.1,178.5,1.056,0.656
KS,54.1,12.6,155.2,17.9,0.233,0.115
KY,173.5,296.9,408.8,403.2,1.711,0.986
LA,228.4,235.1,569.4,444.0,1.029,0.78
MA,43.2,65.5,86.7,82.9,1.515,0.956
MD,49.0,52.2,101.9,67.7,1.065,0.664
ME,221.4,312.1,333.2,549.5,1.409,1.649
MI,885.2,383.7,2032.8,594.4,0.434,0.292
MN,197.4,260.6,450.1,438.8,1.32,0.975
MO,369.7,380.4,655.9,514.0,1.029,0.784
MS,316.6,315.3,670.1,582.3,0.996,0.869
MT,279.4,403.8,501.4,577.2,1.445,1.151
NC,474.9,330.9,913.5,595.9,0.697,0.652
ND,6.3,4.3,10.7,6.4,0.674,0.598
NE,11.2,15.2,20.5,19.4,1.362,0.949
NH,81.2,138.1,159.9,192.6,1.701,1.204
NJ,46.1,43.7,94.8,60.1,0.948,0.634
NM,98.1,143.2,141.4,187.1,1.459,1.323
NV,30.5,43.7,45.4,59.9,1.432,1.319
NY,302.2,387.2,720.2,561.5,1.281,0.78
OH,102.5,191.1,254.7,330.3,1.863,1.297
OK,71.1,135.7,212.2,193.6,1.909,0.913
OR,910.4,982.6,1657.7,1397.8,1.079,0.843
PA,298.5,478.1,734.6,702.3,1.602,0.956
RI,10.2,6.3,41.3,8.4,0.618,0.203
SC,323.3,224.1,566.6,381.6,0.693,0.673
SD,23.4,16.3,38.9,25.1,0.699,0.647
TN,276.0,282.9,1059.2,450.6,1.025,0.425
TX,229.9,282.2,550.4,483.0,1.228,0.878
UT,101.1,108.3,167.1,140.0,1.07,0.838
VA,442.4,335.4,749.3,539.6,0.758,0.72
VT,82.4,139.0,199.6,195.0,1.687,0.977
WA,763.0,701.8,1475.9,1027.1,0.92,0.696
WI,607.8,383.7,1715.0,581.7,0.631,0.339
WV,224.9,256.5,461.0,342.6,1.14,0.743
WY,92.9,155.9,153.7,222.4,1.679,1.447
