"arm","year","agc_Tg"
"gross",2022,11606.75
"gross",2032,13222.06
"gross",2042,14657.26
"gross",2052,15823.45
"gross",2062,16735.88
"gross",2072,17431.52
"gross",2082,17944.79
"gross",2092,18317.79
"gross",2102,18594.26
"gross",2112,18801.54
"gross",2122,18961.06
"recent",2022,11606.75
"recent",2032,13206.39
"recent",2042,14624.43
"recent",2052,15772.4
"recent",2062,16665.98
"recent",2072,17342.48
"recent",2082,17836.62
"recent",2092,18190.78
"recent",2102,18448.89
"recent",2112,18638.41
"recent",2122,18780.79
"moderate",2022,11606.75
"moderate",2032,12495.46
"moderate",2042,13127.35
"moderate",2052,13442.58
"moderate",2062,13510.26
"moderate",2072,13386.41
"moderate",2082,13115.21
"moderate",2092,12737.14
"moderate",2102,12306.33
"moderate",2112,11865.29
"moderate",2122,11439.01
"severe",2022,11606.75
"severe",2032,12132.16
"severe",2042,12369.12
"severe",2052,12342.85
"severe",2062,12100.56
"severe",2072,11680.84
"severe",2082,11155.64
"severe",2092,10589.79
"severe",2102,10042.26
"severe",2112,9549.49
"severe",2122,9112.14
