"year","peakdecline_Tg","hybrid_Tg","diff_pct"
2022,10002,11607,16
2032,11168,12860,15.2
2042,12117,13825,14.1
2052,12858,14494,12.7
2062,13424,14906,11
2072,13851,15083,8.9
2082,14170,15046,6.2
2092,14408,14839,3
2102,14585,14512,-0.5
2112,14716,14109,-4.1
2122,14813,13701,-7.5
