"scenario","HL_saw","HL_pulp","LF_FRAC","HL_lf","DF","net_stock_d","net_subst_d"
"managed (conservation)",50,2,0.3,200,0.3,3494,5191
"managed (conservation)",25,4,0.3,200,0.3,3030,4727
"managed (conservation)",35,4,0.3,200,0.3,3268,4965
"managed (conservation)",50,4,0.3,200,0.3,3524,5221
"managed (conservation)",25,2,0.5,200,0.3,3750,5447
"managed (conservation)",35,2,0.5,200,0.3,3932,5629
"managed (conservation)",50,2,0.5,200,0.3,4126,5824
"managed (conservation)",25,4,0.5,200,0.3,3775,5472
"managed (conservation)",35,4,0.5,200,0.3,3956,5653
"managed (conservation)",50,4,0.5,200,0.3,4151,5848
"managed (conservation)",25,2,0.15,50,0.45,2279,4824
"managed (conservation)",35,2,0.15,50,0.45,2571,5117
"managed (conservation)",50,2,0.15,50,0.45,2887,5433
"managed (conservation)",25,4,0.15,50,0.45,2316,4862
"managed (conservation)",35,4,0.15,50,0.45,2608,5154
"managed (conservation)",50,4,0.15,50,0.45,2924,5470
"managed (conservation)",25,2,0.3,50,0.45,2683,5229
"managed (conservation)",35,2,0.3,50,0.45,2947,5493
"managed (conservation)",50,2,0.3,50,0.45,3229,5775
"managed (conservation)",25,4,0.3,50,0.45,2719,5264
"managed (conservation)",35,4,0.3,50,0.45,2982,5528
"managed (conservation)",50,4,0.3,50,0.45,3265,5810
"managed (conservation)",25,2,0.5,50,0.45,3222,5768
"managed (conservation)",35,2,0.5,50,0.45,3447,5993
"managed (conservation)",50,2,0.5,50,0.45,3685,6231
"managed (conservation)",25,4,0.5,50,0.45,3256,5801
"managed (conservation)",35,4,0.5,50,0.45,3481,6027
"managed (conservation)",50,4,0.5,50,0.45,3719,6265
"managed (conservation)",25,2,0.15,100,0.45,2375,4920
"managed (conservation)",35,2,0.15,100,0.45,2659,5205
"managed (conservation)",50,2,0.15,100,0.45,2967,5513
"managed (conservation)",25,4,0.15,100,0.45,2410,4956
"managed (conservation)",35,4,0.15,100,0.45,2695,5241
"managed (conservation)",50,4,0.15,100,0.45,3003,5548
"managed (conservation)",25,2,0.3,100,0.45,2875,5421
"managed (conservation)",35,2,0.3,100,0.45,3123,5669
"managed (conservation)",50,2,0.3,100,0.45,3389,5935
"managed (conservation)",25,4,0.3,100,0.45,2908,5453
"managed (conservation)",35,4,0.3,100,0.45,3155,5701
"managed (conservation)",50,4,0.3,100,0.45,3422,5968
"managed (conservation)",25,2,0.5,100,0.45,3542,6088
"managed (conservation)",35,2,0.5,100,0.45,3741,6287
"managed (conservation)",50,2,0.5,100,0.45,3953,6499
"managed (conservation)",25,4,0.5,100,0.45,3571,6116
"managed (conservation)",35,4,0.5,100,0.45,3769,6315
"managed (conservation)",50,4,0.5,100,0.45,3981,6527
"managed (conservation)",25,2,0.15,200,0.45,2437,4983
"managed (conservation)",35,2,0.15,200,0.45,2717,5262
"managed (conservation)",50,2,0.15,200,0.45,3019,5565
"managed (conservation)",25,4,0.15,200,0.45,2471,5017
"managed (conservation)",35,4,0.15,200,0.45,2751,5297
"managed (conservation)",50,4,0.15,200,0.45,3054,5599
"managed (conservation)",25,2,0.3,200,0.45,3000,5546
"managed (conservation)",35,2,0.3,200,0.45,3237,5783
"managed (conservation)",50,2,0.3,200,0.45,3494,6039
"managed (conservation)",25,4,0.3,200,0.45,3030,5576
"managed (conservation)",35,4,0.3,200,0.45,3268,5813
"managed (conservation)",50,4,0.3,200,0.45,3524,6070
"managed (conservation)",25,2,0.5,200,0.45,3750,6296
"managed (conservation)",35,2,0.5,200,0.45,3932,6478
"managed (conservation)",50,2,0.5,200,0.45,4126,6672
"managed (conservation)",25,4,0.5,200,0.45,3775,6321
"managed (conservation)",35,4,0.5,200,0.45,3956,6502
"managed (conservation)",50,4,0.5,200,0.45,4151,6697
"managed (conservation)",25,2,0.15,50,0.6,2279,5673
"managed (conservation)",35,2,0.15,50,0.6,2571,5966
"managed (conservation)",50,2,0.15,50,0.6,2887,6281
"managed (conservation)",25,4,0.15,50,0.6,2316,5710
