"state","scenario","product","year_offset","bio_Tg"
"CA","reserve (no harvest)","sawtimber",100,719.971
"CA","reserve (no harvest)","pulpwood",0,124.096
"CA","reserve (no harvest)","pulpwood",10,130.008
"CA","reserve (no harvest)","pulpwood",20,131.928
"CA","reserve (no harvest)","pulpwood",30,132.382
"CA","reserve (no harvest)","pulpwood",40,132.519
"CA","reserve (no harvest)","pulpwood",50,133.067
"CA","reserve (no harvest)","pulpwood",60,132.22
"CA","reserve (no harvest)","pulpwood",70,129.077
"CA","reserve (no harvest)","pulpwood",80,128.773
"CA","reserve (no harvest)","pulpwood",90,129.296
"CA","reserve (no harvest)","pulpwood",100,129.585
"CA","reserve (no harvest)","residue",0,400.692
"CA","reserve (no harvest)","residue",10,420.41
"CA","reserve (no harvest)","residue",20,434.582
"CA","reserve (no harvest)","residue",30,446.037
"CA","reserve (no harvest)","residue",40,453.057
"CA","reserve (no harvest)","residue",50,460.379
"CA","reserve (no harvest)","residue",60,466.03
"CA","reserve (no harvest)","residue",70,469.99
"CA","reserve (no harvest)","residue",80,473.354
"CA","reserve (no harvest)","residue",90,476.558
"CA","reserve (no harvest)","residue",100,478.619
"CO","reserve (no harvest)","sawtimber",0,125.54
"CO","reserve (no harvest)","sawtimber",10,136.053
"CO","reserve (no harvest)","sawtimber",20,143.87
"CO","reserve (no harvest)","sawtimber",30,148.844
"CO","reserve (no harvest)","sawtimber",40,151.961
"CO","reserve (no harvest)","sawtimber",50,154.413
"CO","reserve (no harvest)","sawtimber",60,156.038
"CO","reserve (no harvest)","sawtimber",70,158.852
"CO","reserve (no harvest)","sawtimber",80,158.379
"CO","reserve (no harvest)","sawtimber",90,156.474
"CO","reserve (no harvest)","sawtimber",100,154.212
"CO","reserve (no harvest)","pulpwood",0,93.435
"CO","reserve (no harvest)","pulpwood",10,97.973
"CO","reserve (no harvest)","pulpwood",20,103.006
"CO","reserve (no harvest)","pulpwood",30,109.308
"CO","reserve (no harvest)","pulpwood",40,112.739
"CO","reserve (no harvest)","pulpwood",50,112.922
"CO","reserve (no harvest)","pulpwood",60,112.05
"CO","reserve (no harvest)","pulpwood",70,108.943
"CO","reserve (no harvest)","pulpwood",80,106.38
"CO","reserve (no harvest)","pulpwood",90,104.092
"CO","reserve (no harvest)","pulpwood",100,101.696
"CO","reserve (no harvest)","residue",0,276.837
"CO","reserve (no harvest)","residue",10,292.918
"CO","reserve (no harvest)","residue",20,307.367
"CO","reserve (no harvest)","residue",30,318.083
"CO","reserve (no harvest)","residue",40,326.337
"CO","reserve (no harvest)","residue",50,330.698
"CO","reserve (no harvest)","residue",60,331.896
"CO","reserve (no harvest)","residue",70,328.938
"CO","reserve (no harvest)","residue",80,326.332
"CO","reserve (no harvest)","residue",90,323.457
"CO","reserve (no harvest)","residue",100,319.938
"CT","reserve (no harvest)","sawtimber",0,18.122
"CT","reserve (no harvest)","sawtimber",10,19.558
"CT","reserve (no harvest)","sawtimber",20,21.103
"CT","reserve (no harvest)","sawtimber",30,21.32
"CT","reserve (no harvest)","sawtimber",40,21.301
"CT","reserve (no harvest)","sawtimber",50,21.306
"CT","reserve (no harvest)","sawtimber",60,21.12
"CT","reserve (no harvest)","sawtimber",70,20.925
"CT","reserve (no harvest)","sawtimber",80,20.731
"CT","reserve (no harvest)","sawtimber",90,20.541
"CT","reserve (no harvest)","sawtimber",100,20.36
"CT","reserve (no harvest)","pulpwood",0,14.266
"CT","reserve (no harvest)","pulpwood",10,14.317
"CT","reserve (no harvest)","pulpwood",20,13.593
"CT","reserve (no harvest)","pulpwood",30,13.698
"CT","reserve (no harvest)","pulpwood",40,13.619
"CT","reserve (no harvest)","pulpwood",50,13.48
"CT","reserve (no harvest)","pulpwood",60,13.362
"CT","reserve (no harvest)","pulpwood",70,13.209
"CT","reserve (no harvest)","pulpwood",80,13.06
"CT","reserve (no harvest)","pulpwood",90,12.906
"CT","reserve (no harvest)","pulpwood",100,12.751
"CT","reserve (no harvest)","residue",0,25.36
"CT","reserve (no harvest)","residue",10,25.904
"CT","reserve (no harvest)","residue",20,26.253
"CT","reserve (no harvest)","residue",30,26.358
"CT","reserve (no harvest)","residue",40,26.281
"CT","reserve (no harvest)","residue",50,26.073
"CT","reserve (no harvest)","residue",60,25.897
"CT","reserve (no harvest)","residue",70,25.716
"CT","reserve (no harvest)","residue",80,25.508
"CT","reserve (no harvest)","residue",90,25.297
"CT","reserve (no harvest)","residue",100,25.09
"DE","reserve (no harvest)","sawtimber",0,7.605
