"state","year_offset","agc_Tg","area_Mha"
"AL",0,353.408,8.3083
"AL",10,438.355,8.3083
"AL",20,501.652,8.3083
"AL",30,546.084,8.3083
"AL",40,572.751,8.3083
"AL",50,585.614,8.3083
"AL",60,586.706,8.3083
"AL",70,579.307,8.3083
"AL",80,564.651,8.3083
"AL",90,542.716,8.3083
"AL",100,517.057,8.3083
"AR",0,333.03,6.8015
"AR",10,384.115,6.8015
"AR",20,423.149,6.8015
"AR",30,446.615,6.8015
"AR",40,452.595,6.8015
"AR",50,444.627,6.8015
"AR",60,429.576,6.8015
"AR",70,413.634,6.8015
"AR",80,395.76,6.8015
"AR",90,373.236,6.8015
"AR",100,354.559,6.8015
"AZ",0,100.782,6.7424
"AZ",10,105.717,6.7424
"AZ",20,109.729,6.7424
"AZ",30,112.828,6.7424
"AZ",40,115.173,6.7424
"AZ",50,116.89,6.7424
"AZ",60,118.069,6.7424
"AZ",70,118.84,6.7424
"AZ",80,119.289,6.7424
"AZ",90,119.455,6.7424
"AZ",100,119.411,6.7424
"CA",0,525.415,7.2352
"CA",10,557.295,7.2352
"CA",20,583.576,7.2352
"CA",30,604.772,7.2352
"CA",40,621.794,7.2352
"CA",50,635.334,7.2352
"CA",60,646.597,7.2352
"CA",70,655.706,7.2352
"CA",80,663.036,7.2352
"CA",90,668.942,7.2352
"CA",100,673.171,7.2352
"CO",0,241.696,8.5523
"CO",10,256.714,8.5523
"CO",20,269.852,8.5523
"CO",30,280.418,8.5523
"CO",40,287.5,8.5523
"CO",50,290.832,8.5523
"CO",60,291.721,8.5523
"CO",70,290.108,8.5523
"CO",80,287.347,8.5523
"CO",90,283.914,8.5523
"CO",100,279.962,8.5523
"CT",0,27.85,0.3392
"CT",10,28.811,0.3392
"CT",20,29.355,0.3392
"CT",30,29.542,0.3392
"CT",40,29.439,0.3392
"CT",50,29.26,0.3392
"CT",60,29.017,0.3392
"CT",70,28.753,0.3392
"CT",80,28.481,0.3392
"CT",90,28.209,0.3392
"CT",100,27.945,0.3392
"DE",0,13.337,0.383
"DE",10,14.367,0.383
"DE",20,15.283,0.383
"DE",30,16.127,0.383
"DE",40,16.898,0.383
"DE",50,17.607,0.383
"DE",60,18.267,0.383
"DE",70,18.881,0.383
"DE",80,19.428,0.383
"DE",90,19.943,0.383
"DE",100,20.428,0.383
"FL",0,165.378,5.5251
"FL",10,190.846,5.5251
"FL",20,206.141,5.5251
"FL",30,209.353,5.5251
"FL",40,208.816,5.5251
