state,response,rel_band,n_bins,n_plots,raw_relrmse
WI,voltot_cuftac,0.0429,19,18410,0.0429
WI,merchvol_cuftac,0.0454,19,18410,0.0454
WV,carbon_lbac,0.0318,17,3905,0.0318
WV,agb_tonac,0.0315,17,3905,0.0315
WV,voltot_cuftac,0.0313,17,3905,0.0313
WV,merchvol_cuftac,0.0326,17,3905,0.0326
WY,carbon_lbac,0.1286,28,1461,0.1286
WY,agb_tonac,0.1294,28,1461,0.1294
WY,voltot_cuftac,0.1361,28,1461,0.1361
WY,merchvol_cuftac,0.1405,28,1461,0.1405
