state,area_mha
AL,8.30827
AR,6.80149
AZ,6.74241
CA,7.23517
CO,8.55226
CT,0.49679
DE,0.38301
FL,5.52509
GA,6.51259
IA,0.83444
ID,6.81556
IL,1.54786
IN,1.81744
KS,0.34479
KY,4.32366
LA,4.78419
MA,0.82314
MD,0.66954
ME,6.69671
MI,7.4562
MN,7.09889
MO,6.77
MS,6.285
MT,9.04571
NC,5.82604
ND,0.29346
NE,0.42552
NH,1.91842
NJ,0.7759
NM,6.86486
NV,3.58918
NY,5.85604
OH,2.92684
OK,3.40582
OR,10.54662
PA,6.38153
RI,0.16783
SC,4.39846
SD,0.5348
TN,4.42518
TX,8.13723
UT,5.02433
VA,5.08308
VT,2.00322
WA,7.01016
WI,7.6028
WV,3.221
WY,4.32163
